GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot-library-api-app,com.example.restapi.config,SwaggerConfig,0,17,0,0,0,6,0,2,0,2
springboot-library-api-app,com.example.restapi,RestApiApplication,5,3,0,0,2,1,1,1,1,1
springboot-library-api-app,com.example.restapi.controller,LibraryController,26,71,0,0,5,16,5,7,5,7
springboot-library-api-app,com.example.restapi.controller,BorrowingController,14,30,2,2,4,7,3,4,1,4
springboot-library-api-app,com.example.restapi.controller,UserController,104,49,8,2,20,13,13,4,8,4
springboot-library-api-app,com.example.restapi.controller,BookController,35,37,1,1,9,9,4,4,3,4
springboot-library-api-app,com.example.restapi.model,User,7,53,0,0,3,22,2,12,2,12
springboot-library-api-app,com.example.restapi.model,Book,0,40,0,0,0,17,0,10,0,10
springboot-library-api-app,com.example.restapi.model,Borrowing,15,22,0,0,5,8,5,3,5,3
springboot-library-api-app,com.example.restapi.service,BorrowingService,105,111,12,6,22,29,12,5,3,5
springboot-library-api-app,com.example.restapi.service,BookService,35,90,5,5,7,22,8,7,3,7
springboot-library-api-app,com.example.restapi.service,UserService,9,37,0,0,2,10,2,6,2,6
